Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;3143;23;23;62,85741;300;35,26228;75;19,78521;0;0;
1;Arcade;3065;23;23;61,30176;300;35,90751;75;39,39625;0;0;
2;Arcade;3345;23;23;66,89675;300;33,2515;75;63,79269;0;0;
3;Arcade;3091;23;23;61,82277;300;35,94375;75;83,74805;0;0;
4;Arcade;3111;23;23;62,21775;300;34,88916;75;103,6545;0;0;
5;Arcade;3029;23;23;60,58192;300;36,2344;75;121,7085;0;0;
6;Arcade;3104;23;23;62,07932;300;35,63791;75;140,912;0;0;
7;Arcade;3173;23;23;63,45915;300;35,09044;75;161,1364;0;0;
8;Arcade;3025;23;23;60,50263;300;35,8852;75;179,1929;0;0;
9;Arcade;3275;23;23;65,499;300;33,68477;75;202,2824;0;0;
10;Arcade;3222;23;23;64,44039;300;34,68792;75;224,0211;0;0;
11;Arcade;3174;23;23;63,47825;300;34,63411;75;245,5741;0;0;
12;Arcade;3234;23;23;64,67918;300;34,31664;75;267,4711;0;0;
13;Arcade;3094;23;23;61,88277;300;35,72229;75;287,2298;0;0;
14;Arcade;3198;23;23;63,95954;300;34,85687;75;308,0074;0;0;
15;Arcade;3185;23;23;63,70047;300;34,5925;75;329,0241;0;0;
16;Arcade;2917;23;23;58,33677;300;37,14924;75;344,8856;0;0;
17;Arcade;3307;23;23;66,14172;300;33,38904;75;368,9368;0;0;
18;Arcade;3032;23;23;60,44795;300;36,24066;75;386,8884;0;0;
19;Arcade;3275;23;23;65,6935;300;33,58812;75;410,3259;0;0;
20;Arcade;3134;23;23;62,67671;300;35,03259;75;430,605;0;0;
21;Arcade;3303;23;23;66,06075;300;33,65091;75;454,2889;0;0;
22;Arcade;3217;23;23;64,33999;300;34,39799;75;476,0648;0;0;
23;Arcade;3224;23;23;64,48094;300;34,04378;75;498,0393;0;0;
24;Arcade;3238;23;23;64,76112;300;33,9192;75;520,2607;0;0;
25;Arcade;3081;23;23;61,61696;300;35,86752;75;539,3228;0;0;
