Trial ID;Game Type;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;2905;23;23;58.09883;300;38.4833;75;16.14808;0;0;
1;Arcade;3000;23;23;59.99721;300;37.01107;75;34.98632;0;0;
2;Arcade;3052;23;23;61.0415;300;37.0856;75;54.12002;0;0;
3;Arcade;2951;23;23;59.02156;300;38.02714;75;71.75333;0;0;
4;Arcade;2925;23;23;58.498;300;38.23308;75;88.18971;0;0;
5;Arcade;2877;23;23;57.54048;300;38.81827;75;103.9467;0;0;
6;Arcade;2843;23;23;56.86192;300;39.04502;75;119.0258;0;0;
7;Arcade;2882;23;23;57.63558;300;38.77951;75;134.5791;0;0;
8;Arcade;2856;23;23;57.12067;300;39.01054;75;149.8647;0;0;
9;Arcade;2840;23;23;56.79548;300;38.93448;75;165.4268;0;0;
10;Arcade;2987;23;23;59.74775;300;37.54221;75;182.9292;0;0;
11;Arcade;3030;23;23;60.6002;300;36.94751;75;202.2553;0;0;
12;Arcade;2921;23;23;58.41665;300;38.30555;75;218.9921;0;0;
13;Arcade;2961;23;23;59.21973;300;37.45712;75;237.0589;0;0;
14;Arcade;2856;23;23;57.1227;300;38.89618;75;252.4178;0;0;
15;Arcade;2834;23;23;56.67911;300;39.04115;75;267.5246;0;0;
16;Arcade;2938;23;23;58.76125;300;38.28336;75;284.4975;0;0;
17;Arcade;2884;23;23;57.67786;300;38.36627;75;300.748;0;0;
18;Arcade;2828;23;23;56.56063;300;39.43415;75;315.3993;0;0;
19;Arcade;2891;23;23;57.81945;300;38.51444;75;331.9163;0;0;
20;Arcade;2707;20;23;300;300;37.23278;75;349.1658;0;0;
21;Arcade;2919;23;23;58.38345;300;38.48094;75;365.8282;0;0;
22;Arcade;2896;23;23;57.91957;300;38.22121;75;382.5903;0;0;
23;Arcade;2995;23;23;59.89731;300;37.63192;75;400.9117;0;0;
24;Arcade;2851;23;23;57.02248;300;39.08452;75;415.9009;0;0;
25;Arcade;2883;23;23;57.66113;300;38.78339;75;431.7627;0;0;
