Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;ArcadeCar-1599893;3338;23;23;66,75462;300;32,42891;75;5,945805;4;27;
1;Arcade;ArcadeCar-1599893;2657;23;23;53,08181;300;41,13277;75;9,867102;8;29;
2;Arcade;ArcadeCar-1599893;2486;23;23;49,75914;300;43,41051;75;8,043985;11;31;
3;Arcade;ArcadeCar-1599893;2994;23;23;59,86338;300;36,1515;75;12,93177;16;26;
4;Arcade;ArcadeCar-1599893;14999;19;23;300;300;6,285485;75;5,404739;20;29;
5;Arcade;ArcadeCar-1599893;2796;23;23;55,88744;300;38,77217;75;7,205459;25;26;
6;Arcade;ArcadeCar-1599893;15002;4;23;300;300;1,978487;75;3,462345;27;27;
7;Arcade;ArcadeCar-1599893;3054;23;23;61,03498;300;34,98935;75;13,06959;34;28;
8;Arcade;ArcadeCar-1599893;2942;23;23;58,87417;300;36,29458;75;8,47668;40;29;
9;Arcade;ArcadeCar-1599893;2675;23;23;53,48105;300;40,64025;75;13,83067;42;30;
10;Arcade;ArcadeCar-1599893;6288;23;23;125,7584;300;17,57407;75;85,20084;44;31;
11;Arcade;ArcadeCar-1599893;3414;23;23;68,2607;300;31,97312;75;10,37254;49;30;
12;Arcade;ArcadeCar-1599893;2584;23;23;51,68624;300;41,65082;75;8,029003;52;31;
13;Arcade;ArcadeCar-1599893;15002;15;23;300;300;4,938162;75;5,192996;55;33;
14;Arcade;ArcadeCar-1599893;2862;23;23;57,21134;300;37,91504;75;11,44918;62;28;
15;Arcade;ArcadeCar-1599893;2579;23;23;51,53961;300;41,9658;75;8,424427;65;24;
16;Arcade;ArcadeCar-1599893;842;7;23;300;300;42,25004;75;3,46158;67;34;
17;Arcade;ArcadeCar-1599893;2621;23;23;52,43143;300;41,70879;75;7,118246;71;33;
18;Arcade;ArcadeCar-1599893;2932;23;23;58,60201;300;36,86343;75;8,354325;78;35;
19;Arcade;ArcadeCar-1599893;2932;23;23;58,62498;300;36,98363;75;10,07668;86;36;
20;Arcade;ArcadeCar-1599893;2543;23;23;50,89361;300;42,59724;75;10,66711;88;27;
21;Arcade;ArcadeCar-1599893;2471;23;23;49,38696;300;44,23576;75;7,980441;89;27;
22;Arcade;ArcadeCar-1599893;2486;23;23;49,7534;300;42,60933;75;5,640523;91;30;
23;Arcade;ArcadeCar-1599893;2842;23;23;56,79787;300;37,86148;75;12,3245;97;30;
24;Arcade;ArcadeCar-1599893;2710;23;23;54,19657;300;39,44109;75;4,88943;103;31;
25;Arcade;ArcadeCar-1599893;2670;23;23;53,42703;300;40,51959;75;10,48776;108;26;
26;Arcade;ArcadeCar-1599893;2440;23;23;48,80469;300;44,41275;75;8,035747;110;33;
27;Arcade;ArcadeCar-1599893;3567;23;23;71,33702;300;30,0756;75;8,604248;118;33;
28;Arcade;ArcadeCar-1599893;2658;23;23;53,18321;300;40,82059;75;10,74905;122;32;
29;Arcade;ArcadeCar-1599893;2770;23;23;55,3947;300;37,9985;75;9,138437;125;26;
30;Arcade;ArcadeCar-1599893;2901;23;23;58,01091;300;37,57389;75;14,92797;130;35;
31;Arcade;ArcadeCar-1599893;8814;23;23;176,2596;300;12,5636;75;8,878401;135;33;
32;Arcade;ArcadeCar-1599893;3056;23;23;61,15278;300;34,85039;75;6,806239;144;35;
33;Arcade;ArcadeCar-1599893;2471;23;23;49,38935;300;43,36021;75;6,592575;146;30;
34;Arcade;ArcadeCar-1599893;2467;23;23;49,35297;300;43,87206;75;8,737557;148;30;
35;Arcade;ArcadeCar-1599893;4263;23;23;85,29046;300;26,07618;75;12,44041;151;28;
36;Arcade;ArcadeCar-1599893;2510;23;23;50,19663;300;42,86874;75;11,59544;152;26;
37;Arcade;ArcadeCar-1599893;2626;23;23;52,45145;300;41,23046;75;8,898312;154;31;
38;Arcade;ArcadeCar-1599893;2575;23;23;51,51957;300;41,24726;75;6,930884;158;33;
39;Arcade;ArcadeCar-1599893;2661;23;23;53,23915;300;40,32467;75;8,887277;163;34;
40;Arcade;ArcadeCar-1599893;2712;23;23;54,27499;300;40,18213;75;10,26364;167;29;
41;Arcade;ArcadeCar-1599893;2950;23;23;58,9901;300;36,69894;75;8,588212;172;32;
