Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;ArcadeCar-99979;3199;23;23;63,97884;300;33,97233;75;24,25452;0;0;
1;Arcade;ArcadeCar-99979;3450;23;23;68,99768;300;31,3307;75;31,46691;0;0;
2;Arcade;ArcadeCar-99979;3256;23;23;65,1208;300;33,1041;75;25,66154;0;0;
3;Arcade;ArcadeCar-99979;3287;23;23;65,72767;300;32,43127;75;26,97006;0;0;
4;Arcade;ArcadeCar-99979;3298;23;23;65,95963;300;32,59105;75;26,82043;0;0;
5;Arcade;ArcadeCar-99979;3080;23;23;61,61372;300;34,98831;75;21,61093;0;0;
6;Arcade;ArcadeCar-99979;3537;23;23;70,7366;300;29,939;75;34,14069;0;0;
7;Arcade;ArcadeCar-99979;3880;23;23;77,59998;300;27,61138;75;39,89198;0;0;
8;Arcade;ArcadeCar-99979;3091;23;23;61,80943;300;34,43666;75;23,2548;0;0;
9;Arcade;ArcadeCar-99979;3664;23;23;73,27811;300;29,28127;75;35,90073;0;0;
10;Arcade;ArcadeCar-99979;3327;23;23;66,55289;300;32,28278;75;28,01323;0;0;
11;Arcade;ArcadeCar-99979;3588;23;23;71,76187;300;29,92233;75;32,40719;0;0;
12;Arcade;ArcadeCar-99979;3130;23;23;62,60239;300;34,259;75;23,86922;0;0;
13;Arcade;ArcadeCar-99979;3249;23;23;64,9637;300;33,44612;75;25,04095;0;0;
14;Arcade;ArcadeCar-99979;3364;23;23;67,2798;300;31,77508;75;28,05689;0;0;
15;Arcade;ArcadeCar-99979;3191;23;23;63,83497;300;33,65125;75;23,98401;0;0;
16;Arcade;ArcadeCar-99979;3165;23;23;63,29947;300;34,30528;75;23,0828;0;0;
17;Arcade;ArcadeCar-99979;3162;23;23;63,22634;300;34,13264;75;23,07507;0;0;
18;Arcade;ArcadeCar-99979;3590;23;23;71,79919;300;29,87922;75;33,37219;0;0;
19;Arcade;ArcadeCar-99979;3319;23;23;66,39353;300;32,44283;75;26,81492;0;0;
20;Arcade;ArcadeCar-99979;4382;23;23;87,64164;300;24,20722;75;52,57522;0;0;
21;Arcade;ArcadeCar-99979;3295;23;23;65,90029;300;32,95772;75;25,89056;0;0;
22;Arcade;ArcadeCar-99979;3143;23;23;62,86046;300;34,18446;75;23,06643;0;0;
23;Arcade;ArcadeCar-99979;4639;23;23;92,77943;300;23,02388;75;57,11073;0;0;
24;Arcade;ArcadeCar-99979;3286;23;23;65,69176;300;32,86959;75;25,5227;0;0;
25;Arcade;ArcadeCar-99979;4026;23;23;80,53357;300;26,28987;75;44,26776;0;0;
26;Arcade;ArcadeCar-99979;4052;23;23;81,03706;300;26,27497;75;44,21111;0;0;
27;Arcade;ArcadeCar-99979;3027;23;23;60,55456;300;35,285;75;21,71631;0;0;
28;Arcade;ArcadeCar-99979;3409;23;23;68,16537;300;30,99408;75;30,50968;0;0;
29;Arcade;ArcadeCar-99979;3054;23;23;61,08016;300;34,91701;75;22,67947;0;0;
30;Arcade;ArcadeCar-99979;3735;23;23;74,71752;300;28,90988;75;36,60677;0;0;
31;Arcade;ArcadeCar-99979;3131;23;23;62,60338;300;34,1844;75;23,02187;0;0;
32;Arcade;ArcadeCar-99979;3164;23;23;63,295;300;33,47668;75;24,66566;0;0;
33;Arcade;ArcadeCar-99979;3155;23;23;63,10086;300;34,08825;75;23,27615;0;0;
34;Arcade;ArcadeCar-99979;3943;23;23;78,84303;300;26,9891;75;41,75792;0;0;
35;Arcade;ArcadeCar-99979;3111;23;23;62,23489;300;34,49265;75;23,41653;0;0;
36;Arcade;ArcadeCar-99979;3048;23;23;60,94076;300;34,98969;75;22,56476;0;0;
37;Arcade;ArcadeCar-99979;3129;23;23;62,58736;300;34,34496;75;22,83388;0;0;
38;Arcade;ArcadeCar-99979;3482;23;23;69,65451;300;31,03473;75;29,93568;0;0;
39;Arcade;ArcadeCar-99979;3048;23;23;60,95903;300;35,29262;75;21,60198;0;0;
40;Arcade;ArcadeCar-99979;3196;23;23;63,9044;300;33,52547;75;24,15103;0;0;
41;Arcade;ArcadeCar-99979;3578;23;23;71,55926;300;29,76053;75;34,14267;0;0;
42;Arcade;ArcadeCar-99979;4607;23;23;92,15588;300;22,97357;75;57,5952;0;0;
43;Arcade;ArcadeCar-99979;3244;23;23;64,87991;300;32,82341;75;25,33298;0;0;
44;Arcade;ArcadeCar-99979;2970;23;23;59,39828;300;36,03086;75;20,64548;0;0;
45;Arcade;ArcadeCar-99979;3091;23;23;61,82209;300;34,76314;75;23,34001;0;0;
46;Arcade;ArcadeCar-99979;3201;23;23;64,02129;300;34,15292;75;24,22742;0;0;
47;Arcade;ArcadeCar-99979;3874;23;23;77,478;300;27,55025;75;39,8369;0;0;
48;Arcade;ArcadeCar-99979;3340;23;23;66,79823;300;32,18839;75;26,92202;0;0;
49;Arcade;ArcadeCar-99979;3974;23;23;79,48257;300;27,03415;75;41,6652;0;0;
50;Arcade;ArcadeCar-99979;3509;23;23;70,18058;300;30,6795;75;32,62004;0;0;
0;Arcade;ArcadeCar-199932;2627;23;23;52,53693;300;40,77554;75;13,04772;0;0;
1;Arcade;ArcadeCar-199932;2518;23;23;50,36141;300;42,26648;75;10,81323;0;0;
2;Arcade;ArcadeCar-199932;2610;23;23;52,20135;300;40,52916;75;12,40049;0;0;
3;Arcade;ArcadeCar-199932;2632;23;23;52,63814;300;40,60809;75;13,14939;0;0;
4;Arcade;ArcadeCar-199932;2497;23;23;49,92649;300;42,4247;75;10,24178;0;0;
5;Arcade;ArcadeCar-199932;2558;23;23;50,05904;300;41,32598;75;11,27662;0;0;
6;Arcade;ArcadeCar-199932;2682;23;23;54,74109;300;39,55974;75;15,12556;0;0;
7;Arcade;ArcadeCar-199932;2721;23;23;54,43209;300;39,04217;75;15,25634;0;0;
8;Arcade;ArcadeCar-199932;2551;23;23;51,02361;300;41,25377;75;12,02964;0;0;
9;Arcade;ArcadeCar-199932;2550;23;23;50,9986;300;41,10391;75;12,36434;0;0;
10;Arcade;ArcadeCar-199932;2648;23;23;52,96073;300;40,40271;75;13,66146;0;0;
11;Arcade;ArcadeCar-199932;2547;23;23;50,9359;300;41,4166;75;11,55991;0;0;
12;Arcade;ArcadeCar-199932;3153;23;23;63,04968;300;33,11906;75;25,61732;0;0;
13;Arcade;ArcadeCar-199932;2518;23;23;50,35888;300;41,90421;75;11,30245;0;0;
14;Arcade;ArcadeCar-199932;2538;23;23;50,75876;300;41,52832;75;12,05133;0;0;
15;Arcade;ArcadeCar-199932;2662;23;23;53,24096;300;40,29524;75;13,30332;0;0;
16;Arcade;ArcadeCar-199932;2470;23;23;49,40508;300;42,5451;75;10,28549;0;0;
17;Arcade;ArcadeCar-199932;2613;23;23;52,27131;300;40,69971;75;12,99643;0;0;
18;Arcade;ArcadeCar-199932;2560;23;23;51,19678;300;41,20469;75;11,38;0;0;
19;Arcade;ArcadeCar-199932;2512;23;23;50,24132;300;42,23991;75;10,39255;0;0;
20;Arcade;ArcadeCar-199932;2493;23;23;49,84508;300;42,24431;75;10,72358;0;0;
21;Arcade;ArcadeCar-199932;2594;23;23;51,8815;300;41,04704;75;13,24267;0;0;
22;Arcade;ArcadeCar-199932;2439;23;23;48,79086;300;43,1336;75;9,518817;0;0;
23;Arcade;ArcadeCar-199932;2644;23;23;52,88168;300;40,03578;75;13,55889;0;0;
24;Arcade;ArcadeCar-199932;2528;23;23;50,56017;300;41,7916;75;11,55104;0;0;
25;Arcade;ArcadeCar-199932;3578;23;23;71,56287;300;29,31742;75;34,58729;0;0;
26;Arcade;ArcadeCar-199932;2654;23;23;53,07893;300;39,67424;75;13,74453;0;0;
27;Arcade;ArcadeCar-199932;2704;23;23;54,07866;300;39,3189;75;14,41056;0;0;
28;Arcade;ArcadeCar-199932;2763;23;23;55,24668;300;38,22662;75;15,76434;0;0;
29;Arcade;ArcadeCar-199932;2665;23;23;53,31324;300;39,92662;75;13,17528;0;0;
30;Arcade;ArcadeCar-199932;2547;23;23;50,92709;300;41,55691;75;11,27101;0;0;
31;Arcade;ArcadeCar-199932;2457;23;23;49,15439;300;42,62364;75;10,06974;0;0;
32;Arcade;ArcadeCar-199932;2470;23;23;49,40012;300;42,16081;75;10,55707;0;0;
33;Arcade;ArcadeCar-199932;2715;23;23;54,28478;300;39,25349;75;15,81299;0;0;
34;Arcade;ArcadeCar-199932;2540;23;23;50,80042;300;41,6614;75;11,73481;0;0;
35;Arcade;ArcadeCar-199932;2466;23;23;49,31902;300;42,45272;75;9,849768;0;0;
36;Arcade;ArcadeCar-199932;2605;23;23;52,11695;300;40,75576;75;12,59887;0;0;
37;Arcade;ArcadeCar-199932;2620;23;23;52,39846;300;40,54113;75;12,67193;0;0;
38;Arcade;ArcadeCar-199932;2965;23;23;59,28612;300;36,01828;75;19,13881;0;0;
39;Arcade;ArcadeCar-199932;2575;23;23;51,51417;300;41,15347;75;12,15929;0;0;
40;Arcade;ArcadeCar-199932;2428;23;23;48,55861;300;43,42984;75;9,611544;0;0;
41;Arcade;ArcadeCar-199932;2606;23;23;52,12047;300;40,1374;75;13,39356;0;0;
42;Arcade;ArcadeCar-199932;2609;23;23;52,1801;300;40,83283;75;13,3428;0;0;
43;Arcade;ArcadeCar-199932;2515;23;23;50,29803;300;42,03785;75;11,05533;0;0;
44;Arcade;ArcadeCar-199932;3391;23;23;67,8218;300;31,08919;75;30,91521;0;0;
