Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
7;Arcade;ArcadeCar-000000;15003;6;23;300;300;2,176179;75;19,44118;255;32
8;Arcade;ArcadeCar-000000;5353;23;23;107,0437;300;19,14274;75;66,3932;261;35
9;Arcade;ArcadeCar-000000;8298;23;23;165,9217;300;12,76051;75;80,68175;270;35
10;Arcade;ArcadeCar-000000;1670;7;23;300;300;19,41607;75;21,41924;272;33
11;Arcade;ArcadeCar-000000;15003;7;23;300;300;2,570913;75;22,16501;273;29
12;Arcade;ArcadeCar-000000;1135;7;23;300;300;29,67118;75;10,85087;274;26
13;Arcade;ArcadeCar-000000;14998;2;23;300;300;1,343353;75;295,2268;275;28
14;Arcade;ArcadeCar-000000;15001;7;23;300;300;2,499054;75;13,72365;278;31
15;Arcade;ArcadeCar-000000;15001;15;23;300;300;4,672795;75;24,96789;282;27
16;Arcade;ArcadeCar-000000;15002;17;23;300;300;5,206414;75;47,49681;285;30
17;Arcade;ArcadeCar-000000;15002;20;23;300;300;6,376751;75;71,96488;289;28
18;Arcade;ArcadeCar-000000;8003;23;23;160,0039;300;13,42261;75;65,48828;295;31
19;Arcade;ArcadeCar-000000;14997;5;23;300;300;2,113428;75;3,462934;296;29
20;Arcade;ArcadeCar-000000;5049;23;23;100,9104;300;21,13691;75;63,85196;300;32
21;Arcade;ArcadeCar-000000;4922;23;23;98,38438;300;21,36388;75;57,6268;304;28
22;Arcade;ArcadeCar-000000;5782;23;23;115,6973;300;17,87468;75;73,88071;309;30
23;Arcade;ArcadeCar-000000;4809;23;23;96,19848;300;21,45652;75;60,30303;312;22
24;Arcade;ArcadeCar-000000;4947;23;23;98,95898;300;20,46931;75;65,90158;316;30
25;Arcade;ArcadeCar-000000;15002;8;23;300;300;2,813992;75;48,57562;318;27
26;Arcade;ArcadeCar-000000;5048;23;23;100,9479;300;20,44396;75;61,18084;323;27
27;Arcade;ArcadeCar-000000;15000;17;23;300;300;5,203006;75;51,15622;329;32
28;Arcade;ArcadeCar-000000;15000;16;23;300;300;4,830175;75;273,4777;335;29
29;Arcade;ArcadeCar-000000;15001;7;23;300;300;2,351933;75;294,1252;337;28
30;Arcade;ArcadeCar-000000;6150;23;23;122,9821;300;17,44276;75;37,42799;344;27
31;Arcade;ArcadeCar-000000;15002;20;23;300;300;6,34963;75;274,6184;348;26
32;Arcade;ArcadeCar-000000;15002;16;23;300;300;5,149059;75;272,4556;353;34
33;Arcade;ArcadeCar-000000;15002;3;23;300;300;1,67301;75;239,8284;356;30
34;Arcade;ArcadeCar-000000;13121;23;23;262,3698;300;8,034227;75;87,42989;360;30
35;Arcade;ArcadeCar-000000;4991;23;23;99,81313;300;20,97173;75;57,44934;364;28
36;Arcade;ArcadeCar-000000;15000;5;23;300;300;2,067841;75;2,655818;366;27
37;Arcade;ArcadeCar-000000;15000;20;23;300;300;6,271434;75;270,4637;371;28
38;Arcade;ArcadeCar-000000;15004;3;23;300;300;1,457392;75;76,27595;374;26
39;Arcade;ArcadeCar-000000;5099;23;23;101,9534;300;20,08818;75;68,77843;376;29
40;Arcade;ArcadeCar-000000;15001;20;23;300;300;6,583925;75;264,1659;381;31
41;Arcade;ArcadeCar-000000;15001;22;23;300;300;7,268962;75;255,4843;385;33
42;Arcade;ArcadeCar-000000;15004;8;23;300;300;2,938348;75;25,71614;387;28
43;Arcade;ArcadeCar-000000;15003;3;23;300;300;1,439081;75;291,9514;389;34
44;Arcade;ArcadeCar-000000;15003;7;23;300;300;2,420977;75;291,9752;390;32
45;Arcade;ArcadeCar-000000;15003;15;23;300;300;4,622626;75;32,7949;394;28
46;Arcade;ArcadeCar-000000;15006;3;23;300;300;1,431379;75;292,5103;396;26
47;Arcade;ArcadeCar-000000;15004;18;23;300;300;5,766612;75;257,8206;402;29
48;Arcade;ArcadeCar-000000;15002;21;23;300;300;6,504709;75;80,59216;410;27
49;Arcade;ArcadeCar-000000;15004;1;23;300;300;0,7401177;75;0,199352;411;34
50;Arcade;ArcadeCar-000000;15000;17;23;300;300;5,51876;75;19,74771;414;24
0;Arcade;ArcadeCar-99979;6332;23;23;126,5532;300;17,00784;75;49,32865;417;31
1;Arcade;ArcadeCar-99979;3867;23;23;77,38425;300;28,38605;75;34,03226;422;24
2;Arcade;ArcadeCar-99979;14999;9;23;300;300;3,258929;75;12,51077;424;22
3;Arcade;ArcadeCar-99979;3142;23;23;62,81882;300;33,9307;75;20,55909;428;26
4;Arcade;ArcadeCar-99979;15002;20;23;300;300;6,743833;75;20,32773;433;28
5;Arcade;ArcadeCar-99979;15001;7;23;300;300;2,649382;75;288,4491;435;27
6;Arcade;ArcadeCar-99979;4753;23;23;95,0099;300;22,74552;75;49,69292;439;32
7;Arcade;ArcadeCar-99979;3440;23;23;68,78706;300;31,69606;75;16,98567;445;32
8;Arcade;ArcadeCar-99979;7280;23;23;145,6245;300;15,15503;75;54,58879;452;29
9;Arcade;ArcadeCar-99979;5253;23;23;105,0594;300;20,99452;75;31,16396;458;33
10;Arcade;ArcadeCar-99979;8881;23;23;177,6222;300;12,54359;75;113,5227;464;30
11;Arcade;ArcadeCar-99979;15002;8;23;300;300;3,069024;75;280,7502;468;25
12;Arcade;ArcadeCar-99979;15003;15;23;300;300;4,866044;75;22,28461;472;30
13;Arcade;ArcadeCar-99979;3465;23;23;67,00793;300;31,17091;75;31,09489;475;24
14;Arcade;ArcadeCar-99979;3378;23;23;67,67299;300;32,25627;75;18,74034;477;26
15;Arcade;ArcadeCar-99979;14892;20;23;300;300;7,125991;75;26,65524;481;32
16;Arcade;ArcadeCar-99979;15003;7;23;300;300;2,562123;75;5,642245;484;25
17;Arcade;ArcadeCar-99979;3786;23;23;73,72424;300;27,4753;75;37,01673;488;31
18;Arcade;ArcadeCar-99979;14976;1;23;300;300;0,7397269;75;0;489;34
19;Arcade;ArcadeCar-99979;3626;23;23;70,93746;300;30,22722;75;21,18175;497;29
20;Arcade;ArcadeCar-99979;14923;17;23;300;300;5,658571;75;18,62585;500;26
21;Arcade;ArcadeCar-99979;15001;22;23;300;300;7,329371;75;47,14688;506;33
22;Arcade;ArcadeCar-99979;15037;17;23;300;300;5,600894;75;48,35116;509;30
23;Arcade;ArcadeCar-99979;9597;23;23;189,799;300;11,8527;75;103,1019;513;32
24;Arcade;ArcadeCar-99979;14985;5;23;300;300;2,131066;75;2,988566;514;30
25;Arcade;ArcadeCar-99979;14508;23;23;290,1213;300;7,871853;75;238,2001;523;29
26;Arcade;ArcadeCar-99979;12078;23;23;239,548;300;9,330627;75;13,93603;526;28
27;Arcade;ArcadeCar-99979;3516;23;23;70,33675;300;31,16568;75;31,11662;529;27
28;Arcade;ArcadeCar-99979;5131;23;23;103,2642;300;20,99228;75;38,94455;533;29
29;Arcade;ArcadeCar-99979;14989;4;23;300;300;2,004145;75;1,548227;534;31
30;Arcade;ArcadeCar-99979;15002;3;23;300;300;1,530399;75;294,9383;536;30
31;Arcade;ArcadeCar-99979;15019;10;23;300;300;3,40116;75;3,041293;538;28
32;Arcade;ArcadeCar-99979;15125;14;23;300;300;4,868163;75;19,14587;541;32
33;Arcade;ArcadeCar-99979;11070;23;23;221,333;300;9,83501;75;58,52375;547;33
34;Arcade;ArcadeCar-99979;14997;5;23;300;300;2,12723;75;4,11866;549;26
35;Arcade;ArcadeCar-99979;15013;15;23;300;300;5,033767;75;12,69848;551;26
36;Arcade;ArcadeCar-99979;4135;23;23;79,80399;300;26,13196;75;50,75372;552;33
37;Arcade;ArcadeCar-99979;3707;23;23;74,02541;300;29,49644;75;31,91795;555;27
38;Arcade;ArcadeCar-99979;15014;20;23;300;300;6,591758;75;266,1482;560;28
39;Arcade;ArcadeCar-99979;4418;23;23;88,34424;300;24,79095;75;36,67091;564;27
40;Arcade;ArcadeCar-99979;15000;16;23;300;300;5,491247;75;258,2153;571;33
41;Arcade;ArcadeCar-99979;5129;23;23;102,508;300;21,3055;75;57,88622;578;34
42;Arcade;ArcadeCar-99979;14997;13;23;300;300;4,319539;75;4,990541;581;25
43;Arcade;ArcadeCar-99979;4588;23;23;91,6942;300;23,40131;75;42,61743;591;33
44;Arcade;ArcadeCar-99979;4837;23;23;95,17227;300;21,026;75;31,23545;598;29
45;Arcade;ArcadeCar-99979;12123;23;23;240,9449;300;9,581706;75;43,69086;603;28
46;Arcade;ArcadeCar-99979;14845;22;23;300;300;7,244191;75;61,13975;609;31
47;Arcade;ArcadeCar-99979;15016;21;23;300;300;7,249374;75;240,7976;613;36
48;Arcade;ArcadeCar-99979;4194;23;23;83,54726;300;25,19724;75;48,38919;615;29
49;Arcade;ArcadeCar-99979;3827;23;23;76,82749;300;28,32755;75;45,82124;617;30
50;Arcade;ArcadeCar-99979;4023;23;23;79,48934;300;27,97782;75;19,08422;621;33
0;Arcade;ArcadeCar-199932;2971;23;23;59,34624;300;36,99089;75;17,25108;625;27
1;Arcade;ArcadeCar-199932;15006;4;23;300;300;1,74468;75;4,468941;627;27
2;Arcade;ArcadeCar-199932;2988;23;23;57,25021;300;35,72712;75;10,95009;631;25
