Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
5;Arcade;ArcadeCar-699904;14998;4;23;300;300;2,001756;75;3,438228;252;29;
6;Arcade;ArcadeCar-699904;2717;23;23;54,33491;300;40,54202;75;11,44097;255;30;
7;Arcade;ArcadeCar-699904;2866;23;23;57,31817;300;37,89276;75;11,90393;258;27;
8;Arcade;ArcadeCar-699904;2465;23;23;49,30103;300;43,85981;75;7,411884;260;26;
9;Arcade;ArcadeCar-699904;2470;23;23;49,38474;300;44,50227;75;8,723186;260;28;
10;Arcade;ArcadeCar-699904;14999;7;23;300;300;2,79346;75;2,941767;263;35;
11;Arcade;ArcadeCar-699904;2925;23;23;58,47932;300;36,83168;75;13,80353;267;30;
12;Arcade;ArcadeCar-699904;3034;23;23;60,66549;300;36,19167;75;10,99142;275;30;
13;Arcade;ArcadeCar-699904;2667;23;23;53,35226;300;40,91494;75;8,113208;277;26;
14;Arcade;ArcadeCar-699904;2905;23;23;58,08833;300;37,55505;75;11,67117;280;31;
15;Arcade;ArcadeCar-699904;2807;23;23;56,15526;300;38,65002;75;8,356198;286;26;
16;Arcade;ArcadeCar-699904;4145;23;23;82,89996;300;26,74233;75;13,95322;289;33;
17;Arcade;ArcadeCar-699904;2417;23;23;48,33926;300;44,79934;75;6,620632;291;29;
18;Arcade;ArcadeCar-699904;2650;23;23;52,99797;300;40,47732;75;7,594658;294;24;
19;Arcade;ArcadeCar-699904;2420;23;23;48,4005;300;44,91342;75;7,523652;296;28;
20;Arcade;ArcadeCar-699904;4480;23;23;89,60046;300;24,17408;75;7,419327;299;23;
21;Arcade;ArcadeCar-699904;14999;16;23;300;300;5,490717;75;6,048151;302;29;
22;Arcade;ArcadeCar-699904;2617;23;23;52,31562;300;41,4504;75;12,28278;305;29;
23;Arcade;ArcadeCar-699904;2833;23;23;56,64575;300;38,90125;75;8,792304;308;29;
24;Arcade;ArcadeCar-699904;2788;23;23;55,76243;300;39,56005;75;12,22054;310;29;
25;Arcade;ArcadeCar-699904;2878;23;23;57,55896;300;37,92522;75;7,949204;316;35;
26;Arcade;ArcadeCar-699904;3028;23;23;60,56158;300;35,8324;75;10,83926;320;25;
27;Arcade;ArcadeCar-699904;2566;23;23;51,31571;300;42,8457;75;6,80797;323;33;
28;Arcade;ArcadeCar-699904;2568;23;23;51,36069;300;42,17658;75;8,418451;326;34;
29;Arcade;ArcadeCar-699904;14999;4;23;300;300;1,941282;75;2,651916;327;31;
30;Arcade;ArcadeCar-699904;3581;23;23;71,59888;300;30,92344;75;21,44498;333;34;
31;Arcade;ArcadeCar-699904;14999;7;23;300;300;2,817687;75;4,386355;336;29;
32;Arcade;ArcadeCar-699904;2547;23;23;50,92065;300;41,76548;75;7,588289;339;25;
33;Arcade;ArcadeCar-699904;2525;23;23;50,51283;300;42,3522;75;5,908935;341;29;
34;Arcade;ArcadeCar-699904;2690;23;23;53,79868;300;40,4954;75;8,301024;347;27;
35;Arcade;ArcadeCar-699904;2605;23;23;52,10341;300;42,36158;75;9,723992;348;22;
36;Arcade;ArcadeCar-699904;2497;23;23;49,94049;300;43,565;75;10,07991;349;29;
37;Arcade;ArcadeCar-699904;3012;23;23;60,23621;300;35,60067;75;12,92115;355;29;
38;Arcade;ArcadeCar-699904;2993;23;23;59,84696;300;36,85243;75;10,20186;362;29;
39;Arcade;ArcadeCar-699904;14999;10;23;300;300;3,421348;75;283,18;363;32;
40;Arcade;ArcadeCar-699904;12819;23;23;256,3563;300;8,937393;75;200,6115;371;31;
41;Arcade;ArcadeCar-699904;2787;23;23;55,75765;300;39,33514;75;8,91195;375;32;
42;Arcade;ArcadeCar-699904;2433;23;23;48,64526;300;44,37482;75;9,107991;375;28;
43;Arcade;ArcadeCar-699904;3014;23;23;60,27879;300;35,37437;75;14,48271;379;30;
44;Arcade;ArcadeCar-699904;14999;4;23;300;300;1,956227;75;2,382626;380;25;
45;Arcade;ArcadeCar-699904;2789;23;23;55,7431;300;39,0986;75;7,87086;384;30;
46;Arcade;ArcadeCar-699904;13945;23;23;278,9164;300;8,205528;75;235,6388;387;33;
47;Arcade;ArcadeCar-699904;2928;23;23;58,55632;300;37,4537;75;12,22089;393;32;
48;Arcade;ArcadeCar-699904;2785;23;23;55,68752;300;39,25864;75;8,712921;399;26;
49;Arcade;ArcadeCar-699904;2693;23;23;53,87198;300;40,31733;75;7,407559;404;32;
50;Arcade;ArcadeCar-699904;3225;23;23;64,48528;300;34,21221;75;7,700229;411;31;
0;Arcade;ArcadeCar-799897;15000;4;23;300;300;1,93886;75;1,511001;414;33;
1;Arcade;ArcadeCar-799897;15000;11;23;300;300;3,883875;75;3,811251;417;31;
2;Arcade;ArcadeCar-799897;2745;23;23;54,88828;300;39,34683;75;6,560845;421;29;
3;Arcade;ArcadeCar-799897;2649;23;23;52,9642;300;40,60899;75;7,69507;424;30;
4;Arcade;ArcadeCar-799897;2662;23;23;53,24293;300;40,81661;75;8,258915;426;35;
5;Arcade;ArcadeCar-799897;2504;23;23;50,07832;300;43,02896;75;8,269606;427;32;
6;Arcade;ArcadeCar-799897;2869;23;23;57,39272;300;38,33895;75;7,234665;432;30;
7;Arcade;ArcadeCar-799897;14999;4;23;300;300;1,953421;75;3,398598;434;30;
8;Arcade;ArcadeCar-799897;2731;23;23;54,60292;300;39,95797;75;6,743742;439;27;
9;Arcade;ArcadeCar-799897;2946;23;23;58,9198;300;37,37877;75;6,461135;444;31;
10;Arcade;ArcadeCar-799897;5153;23;23;103,0458;300;21,24475;75;11,47532;449;28;
11;Arcade;ArcadeCar-799897;2734;23;23;54,67945;300;39,90483;75;10,66812;453;30;
12;Arcade;ArcadeCar-799897;2499;23;23;49,99387;300;43,6077;75;8,767585;455;28;
13;Arcade;ArcadeCar-799897;2468;23;23;49,36077;300;43,18824;75;4,158453;459;31;
14;Arcade;ArcadeCar-799897;2746;23;23;54,92054;300;39,21045;75;6,755429;464;34;
15;Arcade;ArcadeCar-799897;2612;23;23;52,238;300;41,78241;75;8,636973;470;30;
16;Arcade;ArcadeCar-799897;3250;23;23;64,99828;300;33,88948;75;10,22503;476;33;
17;Arcade;ArcadeCar-799897;14999;2;23;300;300;1,244471;75;0,261466;477;27;
18;Arcade;ArcadeCar-799897;2919;23;23;58,35727;300;37,74661;75;14,41442;480;31;
19;Arcade;ArcadeCar-799897;2787;23;23;55,72758;300;39,41799;75;10,14082;483;27;
20;Arcade;ArcadeCar-799897;2831;23;23;56,63269;300;38,41324;75;7,437721;486;24;
21;Arcade;ArcadeCar-799897;2838;23;23;56,75912;300;38,26321;75;7,20465;491;31;
22;Arcade;ArcadeCar-799897;2654;23;23;53,08021;300;41,02784;75;8,984347;494;26;
23;Arcade;ArcadeCar-799897;2753;23;23;55,06342;300;39,68351;75;8,590992;498;30;
24;Arcade;ArcadeCar-799897;3290;23;23;65,78253;300;32,79212;75;14,84197;504;27;
25;Arcade;ArcadeCar-799897;2905;23;23;58,11788;300;38,08054;75;11,0697;509;30;
26;Arcade;ArcadeCar-799897;2892;23;23;57,83775;300;38,08649;75;13,26542;514;27;
27;Arcade;ArcadeCar-799897;2647;23;23;52,92766;300;40,89326;75;8,267468;517;25;
28;Arcade;ArcadeCar-799897;2596;23;23;51,93306;300;41,61929;75;9,760571;521;30;
29;Arcade;ArcadeCar-799897;2596;23;23;51,92115;300;41,52102;75;10,8169;523;23;
30;Arcade;ArcadeCar-799897;5802;23;23;116,0228;300;19,09656;75;12,1252;525;31;
31;Arcade;ArcadeCar-799897;2583;23;23;51,67346;300;42,08825;75;9,898007;529;31;
32;Arcade;ArcadeCar-799897;2470;23;23;49,40102;300;43,94624;75;7,029624;530;29;
33;Arcade;ArcadeCar-799897;2906;23;23;58,11797;300;37,56753;75;13,12952;533;30;
34;Arcade;ArcadeCar-799897;2748;23;23;54,93559;300;39,47072;75;11,1185;537;34;
35;Arcade;ArcadeCar-799897;2777;23;23;55,569;300;39,2556;75;7,149558;541;30;
36;Arcade;ArcadeCar-799897;3071;23;23;61,41735;300;35,27129;75;8,147304;548;28;
37;Arcade;ArcadeCar-799897;4232;23;23;84,64139;300;25,81422;75;7,560336;551;31;
38;Arcade;ArcadeCar-799897;3238;23;23;64,75953;300;33,91202;75;10,53917;558;26;
39;Arcade;ArcadeCar-799897;2664;23;23;53,28085;300;41,01995;75;8,53083;561;27;
40;Arcade;ArcadeCar-799897;2573;23;23;51,44234;300;41,96913;75;6,008822;563;32;
41;Arcade;ArcadeCar-799897;2660;23;23;53,20013;300;40,53081;75;6,795906;567;32;
42;Arcade;ArcadeCar-799897;2583;23;23;51,67594;300;42,17312;75;8,183364;569;30;
43;Arcade;ArcadeCar-799897;2985;23;23;59,68542;300;36,4272;75;12,27879;576;33;
44;Arcade;ArcadeCar-799897;2741;23;23;54,83361;300;38,59944;75;4,703022;580;28;
45;Arcade;ArcadeCar-799897;13154;23;23;263,0815;300;8,651839;75;8,231161;585;31;
46;Arcade;ArcadeCar-799897;3227;23;23;64,52573;300;33,56895;75;11,49177;591;33;
47;Arcade;ArcadeCar-799897;2938;23;23;58,77612;300;36,70505;75;10,09599;598;31;
48;Arcade;ArcadeCar-799897;5372;23;23;107,4248;300;20,51599;75;9,433372;605;29;
49;Arcade;ArcadeCar-799897;3000;23;23;59,99732;300;36,20266;75;6,325435;611;30;
50;Arcade;ArcadeCar-799897;8550;23;23;170,999;300;12,80352;75;8,141087;616;35;
0;Arcade;ArcadeCar-899988;3071;23;23;61,43481;300;35,33777;75;8,309797;623;27;
1;Arcade;ArcadeCar-899988;2474;23;23;49,48138;300;44,32629;75;8,515753;626;27;
2;Arcade;ArcadeCar-899988;2559;23;23;51,16508;300;42,7409;75;8,934591;630;37;
3;Arcade;ArcadeCar-899988;2659;23;23;53,19609;300;41,24725;75;5,712841;635;29;
4;Arcade;ArcadeCar-899988;3282;23;23;65,64044;300;33,59489;75;9,043461;642;33;
5;Arcade;ArcadeCar-899988;14999;2;23;300;300;1,265438;75;0,5418369;643;24;
6;Arcade;ArcadeCar-899988;2986;23;23;59,68496;300;35,85522;75;6,001948;648;28;
7;Arcade;ArcadeCar-899988;3009;23;23;60,19473;300;36,23144;75;10,89226;655;29;
8;Arcade;ArcadeCar-899988;3045;23;23;60,85085;300;35,76399;75;18,37814;659;30;
9;Arcade;ArcadeCar-899988;14998;19;23;300;300;6,456738;75;7,08889;662;30;
10;Arcade;ArcadeCar-899988;2778;23;23;55,53718;300;39,13412;75;8,078077;667;33;
11;Arcade;ArcadeCar-899988;2605;23;23;52,11401;300;41,1456;75;4,865246;674;31;
12;Arcade;ArcadeCar-899988;6029;23;23;120,5671;300;18,55145;75;15,47519;676;31;
13;Arcade;ArcadeCar-899988;9615;23;23;192,3144;300;11,73036;75;8,841409;683;32;
14;Arcade;ArcadeCar-899988;2695;23;23;53,88723;300;40,03024;75;9,005254;687;30;
15;Arcade;ArcadeCar-899988;2882;23;23;57,63696;300;37,74704;75;10,41107;692;28;
16;Arcade;ArcadeCar-899988;2826;23;23;56,52034;300;38,53353;75;11,81943;696;34;
17;Arcade;ArcadeCar-899988;14999;14;23;300;300;4,928067;75;5,164877;701;31;
