Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;
0;Arcade;ArcadeCar-99979;4366;23;23;87,27025;300;23,6861;75;45,04761;0;29;
1;Arcade;ArcadeCar-99979;4739;23;23;94,82731;300;22,95531;75;57,83095;0;24;
2;Arcade;ArcadeCar-99979;14999;14;23;300;300;4,766859;75;10,07567;0;26;
3;Arcade;ArcadeCar-99979;15001;6;23;300;300;2,638681;75;20,49642;0;33;
4;Arcade;ArcadeCar-99979;1101;3;23;22,01774;300;14,12889;75;15,79576;0;35;
5;Arcade;ArcadeCar-99979;9357;23;23;187,1395;300;11,86445;75;146,0734;0;34;
6;Arcade;ArcadeCar-99979;15000;11;23;300;300;3,925061;75;276,1895;0;32;
7;Arcade;ArcadeCar-99979;15000;9;23;300;300;3,260887;75;284,9977;0;25;
8;Arcade;ArcadeCar-99979;1210;4;23;24,19685;300;17,04087;75;16,32186;0;31;
9;Arcade;ArcadeCar-99979;4116;23;23;82,31341;300;26,44558;75;31,41176;0;27;
10;Arcade;ArcadeCar-99979;5772;23;23;115,4462;300;18,5444;75;23,85881;0;29;
11;Arcade;ArcadeCar-99979;5063;23;23;101,2609;300;21,24854;75;25,82487;0;32;
12;Arcade;ArcadeCar-99979;4637;23;23;92,73859;300;23,53583;75;51,70315;0;22;
13;Arcade;ArcadeCar-99979;13037;23;23;260,7247;300;8,622513;75;222,7598;0;26;
14;Arcade;ArcadeCar-99979;3551;23;23;71,03692;300;30,39299;75;31,44358;0;33;
15;Arcade;ArcadeCar-99979;14999;11;23;300;300;3,703547;75;21,21531;0;30;
16;Arcade;ArcadeCar-99979;2426;12;23;48,48044;300;23,47905;75;20,02919;0;34;
17;Arcade;ArcadeCar-99979;4643;23;23;92,87982;300;23,38268;75;50,64836;0;34;
18;Arcade;ArcadeCar-99979;15000;16;23;300;300;5,39771;75;28,43092;0;32;
19;Arcade;ArcadeCar-99979;2421;7;23;48,41774;300;15,03847;75;34,26699;0;32;
20;Arcade;ArcadeCar-99979;15000;15;23;300;300;4,657149;75;268,4831;0;27;
21;Arcade;ArcadeCar-99979;11381;8;23;227,6132;300;4,197566;75;24,98894;0;35;
22;Arcade;ArcadeCar-99979;3921;23;23;78,42001;300;26,67626;75;44,63752;0;26;
23;Arcade;ArcadeCar-99979;15000;22;23;300;300;7,24692;75;24,05349;0;33;
24;Arcade;ArcadeCar-99979;4475;23;23;89,49689;300;24,03912;75;47,25017;0;34;
25;Arcade;ArcadeCar-99979;15000;11;23;300;300;3,647121;75;74,52612;0;29;
26;Arcade;ArcadeCar-99979;15000;10;23;300;300;3,750115;75;21,20454;0;29;
27;Arcade;ArcadeCar-99979;1377;2;23;27,52134;300;8,572478;75;22,80785;0;31;
28;Arcade;ArcadeCar-99979;4125;23;23;82,498;300;25,80076;75;44,29095;0;31;
29;Arcade;ArcadeCar-99979;14999;14;23;300;300;4,837628;75;31,85449;0;33;
30;Arcade;ArcadeCar-99979;2112;9;23;42,20699;300;21,90087;75;24,81801;0;28;
31;Arcade;ArcadeCar-99979;8426;23;23;168,5199;300;12,78755;75;49,77817;0;29;
32;Arcade;ArcadeCar-99979;15000;15;23;300;300;4,860109;75;11,99229;0;28;
33;Arcade;ArcadeCar-99979;3311;8;23;66,21486;300;12,88845;75;45,09754;0;29;
34;Arcade;ArcadeCar-99979;1020;7;23;300;300;36,42927;75;5,640338;0;32;
35;Arcade;ArcadeCar-99979;14999;14;23;300;300;4,638025;75;30,31393;0;27;
36;Arcade;ArcadeCar-99979;2091;9;23;41,79762;300;22,53926;75;22,05003;0;30;
37;Arcade;ArcadeCar-99979;6421;23;23;128,4221;300;16,86567;75;77,17179;0;22;
38;Arcade;ArcadeCar-99979;3252;23;23;65,02121;300;33,05241;75;20,92286;0;32;
39;Arcade;ArcadeCar-99979;4319;23;23;86,39673;300;25,68661;75;45,62054;0;28;
40;Arcade;ArcadeCar-99979;4571;23;23;91,40675;300;23,48191;75;46,54792;0;30;
41;Arcade;ArcadeCar-99979;15000;20;23;300;300;6,904865;75;44,01633;0;30;
42;Arcade;ArcadeCar-99979;879;3;23;17,57224;300;18,31565;75;10,39748;0;28;
43;Arcade;ArcadeCar-99979;4393;23;23;87,86343;300;23,93641;75;34,4992;0;28;
44;Arcade;ArcadeCar-99979;8929;23;23;178,5787;300;12,32801;75;51,72083;0;30;
45;Arcade;ArcadeCar-99979;13754;23;23;275,0787;300;8,224801;75;36,97832;0;27;
46;Arcade;ArcadeCar-99979;14999;11;23;300;300;3,825617;75;8,61306;0;28;
47;Arcade;ArcadeCar-99979;1746;12;23;34,88445;300;32,71069;75;13,56351;0;25;
48;Arcade;ArcadeCar-99979;4024;23;23;80,4797;300;26,79062;75;36,94506;0;30;
49;Arcade;ArcadeCar-99979;5309;23;23;106,1952;300;20,28615;75;44,74695;0;29;
50;Arcade;ArcadeCar-99979;4861;23;23;97,20353;300;22,03249;75;53,18499;0;28;
0;Arcade;ArcadeCar-199932;3359;23;23;67,19567;300;30,96923;75;10,98376;0;29;
1;Arcade;ArcadeCar-199932;3087;23;23;61,72791;300;34,41984;75;9,161435;0;34;
2;Arcade;ArcadeCar-199932;3467;23;23;69,35463;300;31,89765;75;18,36783;0;29;
3;Arcade;ArcadeCar-199932;3169;23;23;63,36277;300;32,86191;75;15,31106;0;26;
4;Arcade;ArcadeCar-199932;3018;23;23;60,36313;300;34,51122;75;18,18046;0;27;
5;Arcade;ArcadeCar-199932;3748;23;23;74,97339;300;29,03146;75;22,90928;0;32;
6;Arcade;ArcadeCar-199932;15000;9;23;300;300;3,225955;75;3,275864;0;31;
