Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle
19;Arcade;ArcadeCar-199933;2683;23;23;53,6433;300;39,70907;75;13,85314;0;0
20;Arcade;ArcadeCar-199933;2819;23;23;56,39487;300;37,99384;75;15,73398;0;0
21;Arcade;ArcadeCar-199933;2836;23;23;56,71807;300;37,42459;75;16,49804;0;0
22;Arcade;ArcadeCar-199933;2725;23;23;54,50325;300;39,1381;75;13,61779;0;0
23;Arcade;ArcadeCar-199933;3041;23;23;60,82022;300;34,83699;75;21,09591;0;0
24;Arcade;ArcadeCar-199933;2679;23;23;53,57818;300;39,55217;75;13,8718;0;0
25;Arcade;ArcadeCar-199933;2908;23;23;58,14662;300;36,54991;75;18,41261;0;0
0;Arcade;ArcadeCar-299991;2766;23;23;55,32004;300;38,68961;75;15,6687;0;0
1;Arcade;ArcadeCar-299991;2762;23;23;55,23598;300;38,66689;75;15,39188;0;0
2;Arcade;ArcadeCar-299991;2737;23;23;54,75927;300;39,21998;75;14,06124;0;0
3;Arcade;ArcadeCar-299991;2741;23;23;54,81932;300;38,6496;75;14,8696;0;0
4;Arcade;ArcadeCar-299991;2754;23;23;55,08041;300;38,68547;75;14,85512;0;0
5;Arcade;ArcadeCar-299991;2768;23;23;55,35609;300;38,32221;75;15,5797;0;0
6;Arcade;ArcadeCar-299991;2729;23;23;54,58037;300;39,00784;75;15,08378;0;0
7;Arcade;ArcadeCar-299991;2712;23;23;54,24001;300;39,23799;75;14,48619;0;0
8;Arcade;ArcadeCar-299991;2687;23;23;53,72805;300;39,59522;75;13,41902;0;0
9;Arcade;ArcadeCar-299991;2636;23;23;52,73456;300;40,44788;75;12,18532;0;0
10;Arcade;ArcadeCar-299991;2770;23;23;55,39939;300;38,71022;75;15,83502;0;0
11;Arcade;ArcadeCar-299991;2798;23;23;55,94431;300;38,23052;75;15,59813;0;0
12;Arcade;ArcadeCar-299991;2606;23;23;52,11847;300;40,64996;75;12,0534;0;0
13;Arcade;ArcadeCar-299991;2670;23;23;53,41865;300;39,96857;75;13,03119;0;0
14;Arcade;ArcadeCar-299991;2867;23;23;57,33638;300;37,08883;75;17,79406;0;0
15;Arcade;ArcadeCar-299991;2896;23;23;57,92029;300;36,69662;75;17,99463;0;0
16;Arcade;ArcadeCar-299991;2826;23;23;56,52333;300;37,56049;75;16,79483;0;0
17;Arcade;ArcadeCar-299991;2679;23;23;53,56308;300;39,53384;75;14,57944;0;0
18;Arcade;ArcadeCar-299991;2637;23;23;52,7561;300;40,22284;75;12,91453;0;0
19;Arcade;ArcadeCar-299991;2769;23;23;55,37782;300;38,59093;75;15,21824;0;0
20;Arcade;ArcadeCar-299991;2736;23;23;54,72281;300;38,72726;75;14,52045;0;0
21;Arcade;ArcadeCar-299991;2691;23;23;53,81947;300;39,61666;75;14,13722;0;0
22;Arcade;ArcadeCar-299991;2703;23;23;54,05829;300;39,32121;75;13,90153;0;0
23;Arcade;ArcadeCar-299991;2714;23;23;54,26636;300;38,9536;75;14,88773;0;0
24;Arcade;ArcadeCar-299991;2795;23;23;55,91576;300;37,89461;75;16,05098;0;0
25;Arcade;ArcadeCar-299991;2871;23;23;57,41798;300;37,25999;75;18,09766;0;0
0;Arcade;ArcadeCar-399981;2941;23;23;58,81727;300;36,55309;75;19,61008;0;0
1;Arcade;ArcadeCar-399981;2729;23;23;54,58347;300;39,07608;75;16,09433;0;0
2;Arcade;ArcadeCar-399981;2782;23;23;55,62384;300;38,49975;75;16,28996;0;0
3;Arcade;ArcadeCar-399981;2603;23;23;52,07631;300;41,00192;75;11,95417;0;0
4;Arcade;ArcadeCar-399981;2864;23;23;57,28087;300;37,49105;75;17,97992;0;0
5;Arcade;ArcadeCar-399981;2548;23;23;50,95773;300;41,91497;75;11,01308;0;0
6;Arcade;ArcadeCar-399981;2715;23;23;54,2997;300;39,27103;75;15,13499;0;0
7;Arcade;ArcadeCar-399981;2746;23;23;54,92048;300;38,90963;75;15,40407;0;0
8;Arcade;ArcadeCar-399981;2735;23;23;54,70209;300;39,02639;75;15,06215;0;0
