Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
14;Arcade;ArcadeCar-00000;2438;17;17;48,75567;300;29,81053;75;13,31378;4;19;2,186928
15;Arcade;ArcadeCar-00000;15000;12;17;300;300;4,016037;75;15,18221;1;17;262,0948
16;Arcade;ArcadeCar-00000;3873;17;17;77,45451;300;19,12648;75;13,24535;9;22;25,52186
17;Arcade;ArcadeCar-00000;3298;17;17;65,69414;300;22,1209;75;18,17516;7;20;11,23439
18;Arcade;ArcadeCar-00000;3344;17;17;67,1435;300;21,77715;75;12,95385;3;20;18,32288
19;Arcade;ArcadeCar-00000;3180;17;17;63,60403;300;21,95595;75;18,62148;5;18;8,366788
20;Arcade;ArcadeCar-00000;15000;12;17;300;300;4,112363;75;267,8726;4;20;257,2997
21;Arcade;ArcadeCar-00000;2274;17;17;45,47633;300;31,5858;75;12,74176;0;19;0
22;Arcade;ArcadeCar-00000;15000;12;17;300;300;4,026776;75;261,3845;4;14;263,0561
23;Arcade;ArcadeCar-00000;8008;17;17;160,1503;300;9,423168;75;16,30166;2;18;110,0196
24;Arcade;ArcadeCar-00000;3133;17;17;62,66053;300;22,84179;75;15,14252;6;23;10,40055
25;Arcade;ArcadeCar-00000;15023;5;17;300;300;2,127585;75;1,371713;1;20;286,7066
26;Arcade;ArcadeCar-00000;2985;17;17;59,68503;300;22,95402;75;16,78692;3;18;8,464108
27;Arcade;ArcadeCar-00000;3186;17;17;63,72059;300;22,59629;75;16,25341;5;22;12,60971
28;Arcade;ArcadeCar-00000;15029;5;17;300;300;2,12645;75;0,2649298;1;16;287,4833
29;Arcade;ArcadeCar-00000;2490;17;17;49,78767;300;28,4851;75;11,45905;4;23;1,917064
30;Arcade;ArcadeCar-00000;14999;1;17;300;300;0,9232153;75;0,2553512;1;21;295,4973
31;Arcade;ArcadeCar-00000;2572;17;17;51,41384;300;27,88668;75;12,99395;2;20;5,264074
32;Arcade;ArcadeCar-00000;3314;17;17;65,75156;300;20,98144;75;19,7516;2;18;14,40513
33;Arcade;ArcadeCar-00000;14973;5;17;300;300;2,090607;75;2,597948;1;23;284,6119
34;Arcade;ArcadeCar-00000;3116;17;17;62,30151;300;23,69857;75;17,44889;4;21;9,100563
35;Arcade;ArcadeCar-00000;2361;17;17;47,22149;300;30,65435;75;5,179396;3;21;6,149714
36;Arcade;ArcadeCar-00000;2471;17;17;49,41972;300;29,00825;75;18,09452;0;21;0
37;Arcade;ArcadeCar-00000;14999;1;17;300;300;0,719982;75;0,2567564;1;19;296,8004
38;Arcade;ArcadeCar-00000;13508;17;17;270,1371;300;5,738091;75;21,44464;4;21;212,1086
39;Arcade;ArcadeCar-00000;2761;17;17;55,22241;300;25,81376;75;15,169;2;15;2,979827
40;Arcade;ArcadeCar-00000;15000;7;17;300;300;2,500148;75;2,152858;2;23;281,2849
41;Arcade;ArcadeCar-00000;3895;17;17;77,88873;300;18,71568;75;43,92573;1;22;27,9038
42;Arcade;ArcadeCar-00000;11720;17;17;234,397;300;6,566986;75;18,70588;2;17;185,5848
43;Arcade;ArcadeCar-00000;6321;17;17;126,422;300;11,89852;75;9,183175;3;18;81,69958
44;Arcade;ArcadeCar-00000;7732;17;17;154,641;300;9,819612;75;18,64196;6;19;99,72267
45;Arcade;ArcadeCar-00000;15000;16;17;300;300;4,958377;75;23,9039;2;21;245,9672
46;Arcade;ArcadeCar-00000;15000;7;17;300;300;2,497364;75;0,2610234;1;22;283,8644
47;Arcade;ArcadeCar-00000;3190;17;17;63,78531;300;22,68908;75;23,4733;2;21;6,168495
48;Arcade;ArcadeCar-00000;2950;17;17;58,99929;300;23,41256;75;23,9342;3;18;4,014326
49;Arcade;ArcadeCar-00000;4367;17;17;87,34486;300;16,60725;75;12,60986;3;18;37,95225
50;Arcade;ArcadeCar-00000;7409;17;17;148,1792;300;10,05149;75;16,11419;4;21;98,77168
0;Arcade;ArcadeCar-99953;15000;12;17;300;300;3,908693;75;8,943647;3;23;263,2991
1;Arcade;ArcadeCar-99953;5659;17;17;113,1773;300;13,15053;75;10,00015;5;23;64,19395
2;Arcade;ArcadeCar-99953;11390;17;17;227,795;300;6,75071;75;6,174589;4;19;181,432
3;Arcade;ArcadeCar-99953;2299;17;17;45,97942;300;31,21972;75;7,113183;2;22;0,7972722
4;Arcade;ArcadeCar-99953;2297;17;17;45,94038;300;31,58011;75;5,655818;2;21;2,403944
5;Arcade;ArcadeCar-99953;3189;17;17;63,78518;300;22,58857;75;6,658143;3;21;18,2853
6;Arcade;ArcadeCar-99953;2579;17;17;51,57111;300;28,39379;75;9,00157;3;21;5,107027
7;Arcade;ArcadeCar-99953;5802;17;17;116,047;300;12,63015;75;2,313001;3;17;74,69034
