Trial ID;Game Type;Name Model;Training Step;Race Completion;Checkpoint Max;Time;Max Time;Speed Average;Max Speed;Off Road Time;Hit Number;Max Obstacle;Obstacle Time
10;Arcade;ArcadeCar-99916;2791;17;17;55,81149;300;25,69725;75;16,01199;4;20;2,286742
11;Arcade;ArcadeCar-99916;2199;17;17;43,97893;300;31,58477;75;11,89989;4;21;0,2011484
12;Arcade;ArcadeCar-99916;2815;17;17;56,30283;300;25,30459;75;20,08418;2;15;3,406408
13;Arcade;ArcadeCar-99916;15000;15;17;300;300;4,722267;75;10,56221;2;16;259,584
14;Arcade;ArcadeCar-99916;2736;17;17;54,71747;300;25,92844;75;12,86552;4;22;6,686022
15;Arcade;ArcadeCar-99916;14999;6;17;300;300;2,37461;75;1,031839;1;17;284,2919
16;Arcade;ArcadeCar-99916;2959;17;17;59,1602;300;23,55957;75;22,92836;5;19;6,854466
17;Arcade;ArcadeCar-99916;15000;9;17;300;300;3,108858;75;11,35431;1;18;271,0194
18;Arcade;ArcadeCar-99916;2893;17;17;57,85612;300;24,51901;75;9,717325;7;21;9,673272
19;Arcade;ArcadeCar-99916;991;7;17;300;300;34,94411;75;1,988535;1;20;1,583669
20;Arcade;ArcadeCar-99916;2345;17;17;46,90312;300;30,47244;75;13,99928;0;17;0
21;Arcade;ArcadeCar-99916;2414;17;17;48,27822;300;29,74615;75;5,221537;5;18;3,659026
22;Arcade;ArcadeCar-99916;3318;17;17;66,36059;300;22,09513;75;5,071773;2;17;25,6412
23;Arcade;ArcadeCar-99916;1831;17;17;36,61693;300;39,51142;75;3,348961;1;18;0,1002306
24;Arcade;ArcadeCar-99916;15000;7;17;300;300;2,511934;75;0,9578457;1;23;283,2565
25;Arcade;ArcadeCar-99916;10134;17;17;202,6737;300;7,290764;75;9,254495;3;18;159,9565
26;Arcade;ArcadeCar-99916;2222;17;17;44,43687;300;31,9059;75;10,60667;1;23;0,335832
27;Arcade;ArcadeCar-99916;2804;17;17;56,08205;300;25,83758;75;2,631886;6;21;11,401
28;Arcade;ArcadeCar-99916;2286;17;17;45,71861;300;30,92856;75;11,74653;2;20;0,4909868
29;Arcade;ArcadeCar-99916;14999;16;17;300;300;4,935829;75;11,08598;2;23;260,1374
30;Arcade;ArcadeCar-99916;2440;17;17;48,76826;300;28,80448;75;18,21599;1;23;0,03533839
31;Arcade;ArcadeCar-99916;2079;17;17;41,59282;300;34,53271;75;7,638214;2;16;0,1608796
32;Arcade;ArcadeCar-99916;3339;17;17;66,78092;300;21,66026;75;13,90979;4;21;15,82379
33;Arcade;ArcadeCar-99916;15000;7;17;300;300;2,564516;75;2,741202;2;16;281,3344
34;Arcade;ArcadeCar-99916;2115;17;17;42,29321;300;33,72361;75;6,629972;2;18;0,20139
35;Arcade;ArcadeCar-99916;15000;1;17;300;300;0,6986673;75;0,2789594;1;22;297,0913
36;Arcade;ArcadeCar-99916;15000;15;17;300;300;4,746161;75;13,38491;2;20;256,0698
37;Arcade;ArcadeCar-99916;2492;17;17;49,82834;300;27,23503;75;16,28679;1;20;2,441245
38;Arcade;ArcadeCar-99916;4241;17;17;84,82159;300;17,32738;75;10,1452;3;20;34,31618
39;Arcade;ArcadeCar-99916;2353;17;17;46,87896;300;30,61555;75;5,04;3;20;5,397509
40;Arcade;ArcadeCar-99916;1994;17;17;40,06147;300;36,54041;75;6,894747;2;19;0,06293261
41;Arcade;ArcadeCar-99916;2924;17;17;58,47963;300;24,68119;75;15,2487;4;20;7,72378
42;Arcade;ArcadeCar-99916;3935;17;17;78,70118;300;18,05557;75;11,12184;1;16;34,48277
43;Arcade;ArcadeCar-99916;15000;1;17;300;300;0,7109236;75;0,2624204;1;19;297,0439
44;Arcade;ArcadeCar-99916;12927;17;17;258,5316;300;6,074819;75;4,892419;3;19;220,0538
45;Arcade;ArcadeCar-99916;2092;17;17;41,83837;300;33,80244;75;8,622382;2;14;0,24049
46;Arcade;ArcadeCar-99916;2640;17;17;52,80345;300;26,98783;75;9,054935;4;17;5,895477
47;Arcade;ArcadeCar-99916;2504;17;17;50,07945;300;28,83302;75;17,64345;1;20;3,891679
48;Arcade;ArcadeCar-99916;14999;5;17;300;300;2,135417;75;0,2799536;1;19;287,1323
49;Arcade;ArcadeCar-99916;2418;17;17;48,33815;300;28,43988;75;16,82077;2;18;0,869024
50;Arcade;ArcadeCar-99916;2553;17;17;51,06398;300;28,36468;75;6,226213;2;22;8,129168
0;Arcade;ArcadeCar-199923;2003;17;17;40,05874;300;35,23991;75;7,827809;1;21;1,524809
1;Arcade;ArcadeCar-199923;14999;7;17;300;300;2,522622;75;0,27653;4;16;281,7392
2;Arcade;ArcadeCar-199923;1847;17;17;36,91621;300;38,89808;75;4,019467;1;22;0,1596716
3;Arcade;ArcadeCar-199923;1890;17;17;37,80138;300;37,86606;75;2,849047;2;19;1,780133
4;Arcade;ArcadeCar-199923;15023;7;17;300;300;2,52698;75;0,2585366;2;21;284,2961
5;Arcade;ArcadeCar-199923;2110;17;17;41,87779;300;33,53128;75;5,413898;3;22;1,485086
6;Arcade;ArcadeCar-199923;2370;17;17;47,72166;300;30,86372;75;9,058007;3;17;3,481853
7;Arcade;ArcadeCar-199923;2295;17;17;45,89536;300;30,57475;75;6,442832;4;20;6,155008
8;Arcade;ArcadeCar-199923;2033;17;17;40,66092;300;35,4543;75;2,978348;3;19;2,739934
9;Arcade;ArcadeCar-199923;2014;17;17;40,27961;300;35,06643;75;6,455343;2;18;0,757647
10;Arcade;ArcadeCar-199923;7586;17;17;151,7207;300;9,881888;75;41,30826;4;22;112,4271
11;Arcade;ArcadeCar-199923;2363;17;17;46,97747;300;30,37893;75;5,438101;2;20;9,999043
12;Arcade;ArcadeCar-199923;1990;17;17;40,08406;300;35,60327;75;7,598035;0;18;0
13;Arcade;ArcadeCar-199923;1783;17;17;35,6619;300;39,2755;75;4,548196;1;17;0,3584706
14;Arcade;ArcadeCar-199923;3358;17;17;67,15879;300;21,55233;75;6,05243;4;22;25,49078
15;Arcade;ArcadeCar-199923;6341;17;17;126,8215;300;11,42528;75;7,398989;4;21;83,19111
16;Arcade;ArcadeCar-199923;3732;17;17;74,63391;300;19,62613;75;35,97713;3;17;35,05677
17;Arcade;ArcadeCar-199923;1765;17;17;35,30621;300;40,40178;75;3,685028;2;22;0,1760488
18;Arcade;ArcadeCar-199923;2136;17;17;42,71593;300;33,65382;75;5,05968;5;20;1,750707
19;Arcade;ArcadeCar-199923;2772;17;17;55,438;300;26,33889;75;15,16582;4;22;7,357893
20;Arcade;ArcadeCar-199923;2170;17;17;43,40399;300;33,66848;75;7,855027;2;17;5,571387
21;Arcade;ArcadeCar-199923;3871;17;17;77,41903;300;18,82166;75;8,510897;4;22;31,94789
22;Arcade;ArcadeCar-199923;2145;17;17;42,90285;300;33,3577;75;9,240868;2;19;4,408642
23;Arcade;ArcadeCar-199923;2261;17;17;45,21825;300;31,90184;75;2,774461;3;19;6,754947
